Reserva_ID;Quarto_ID;Hospede_ID;Canal_Venda;Data_Reserva;Data_Checkin;Data_Checkout;Qtd_Hospedes;Diaria_Media_Cobrada;Status_Reserva;Hotel_ID;Numero_Quarto;Andar;Tipo_Quarto;Capacidade_Pessoas;Vista;Tarifa_Base_Diaria;Hotel_Nome;Bandeira;Cidade;UF;Perfil_Destino;Categoria_Estrelas;Ano_Inauguracao;Nota_Media_Avaliacao;Hospede_Nome;CPF;Sexo;Data_Nascimento;Cidade_Origem;UF_Origem;Email;Telefone;Nivel_Fidelidade;Qtd_Lancamentos_Extras;Valor_Consumos_Extras
RSV-35026498;QRT-62109;HSP-515658;Balcão;2026-04-05;05/04/2026;08/04/2026;2;666,41;Check-out Realizado;HTL-108;306;3;Luxo;3;Interna;724,79;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Fabiana Kobayashi;871.819.383-80;F;1971-11-21;Campinas;SP;fabiana_kobayashi@yahoo.com.br;(11) 97425-2453;Prata;2,0;418,32
RSV-45507999;QRT-07215;HSP-092688;Agência de Turismo;2025-06-11;21/09/2025;26/09/2025;2;646,20;Check-out Realizado;HTL-485;412;4;Standard;2;Jardim;1050,23;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Benício Amirala Becker;355.283.372-24;M;1982-03-23;Goiânia;GO;beniciobecker@yahoo.com.br;(61) 99520-7641;Ouro;12,0;2418,59
RSV-35967298;QRT-11826;HSP-904195;Site Próprio;2025-03-07;10/04/2025;14/04/2025;2;512,78;Check-out Realizado;HTL-108;303;3;Luxo;3;Cidade;672,13;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Gelson Kuroda Marques;485.436.274-00;M;1981-05-16;Belo Horizonte;MG;gelsonmarques@icloud.com;(21) 98298-8611;Ouro;4,0;349,8
RSV-95520969;QRT-76575;HSP-399371;OTA BookNow;2026-03-22;13-07-2026;17/07/2026;2;296,61;Confirmada;HTL-103;304;3;Superior;3;Jardim;307,56;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Rosângela Abbate;995.176.993-44;F;1998-11-27;Rio de Janeiro;RJ;rosangela.abbate@hotmail.com;(62) 96324-6190;Ouro;0,0;0,0
RSV-18508773;QRT-29015;HSP-051361;Agência de Turismo;2026-03-01;05/06/2026;08/06/2026;3;583,48;Check-out Realizado;HTL-878;301;3;Superior;3;Piscina;487,17;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Volmar Caldas Correia;647.023.607-36;M;1952-10-06;Uberlândia;MG;volmar_correia8@yahoo.com.br;(11) 96685-3841;Bronze;3,0;213,53
RSV-52072387;QRT-75043;HSP-897610;OTA ViajaMais;2026-02-15;14.04.26;2026-04-15;1;141,76;Check-out Realizado;HTL-606;206;2;Standard;2;Interna;185,11;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;André  Arcini Arcioni;703.078.176-79;M;1957-06-16;Londrina;PR;andre.arcioni92@hotmail.com;(61) 97373-9701;Prata;1,0;24,19
RSV-33636188;QRT-02047;HSP-218745;OTA ViajaMais;2026-04-27;30/05/2026;02/06/2026;2;184,96;Check-out Realizado;HTL-103;308;3;Superior;3;Piscina;250,45;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Cesário Arduchat Ferreira;211.828.913-81;M;1991-01-09;Niterói;RJ;cesario.ferreira@outlook.com;(21) 96083-3540;Bronze;2,0;261,58
RSV-71206895;QRT-31340;HSP-857427;Balcão;2026-04-02;02/04/2026;05/04/2026;1;218,95;Check-out Realizado;HTL-105;102;1;Standard ;2;Piscina;193,57;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Antero Hanauer Aragoni;166.239.567-19;M;1958-05-26;Curitiba;PR;antero.aragoni47@uol.com.br;(41) 97407-1489;Ouro;5,0;669,81
RSV-72276757;QRT-82787;HSP-431850;OTA - BookNow;2025-12-02;09/12/2025;14/12/2025;1;428,75;Check-out Realizado;HTL-105;311;3;Suíte Master;4;Piscina;437,35;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Arnildo Hofmann Abilio;433.629.994-33;M;1964-07-08;Campinas;SP;arnildo_abilio@yahoo.com.br;(51) 99979-6594;Ouro;2,0;75,87
RSV-52667983;QRT-24594;HSP-462570;Central Telefônica;2026-03-12;27/03/2026;29/03/2026;3;546,95;Check-out Realizado;HTL-108;403;4;Luxo;3;Cidade;569,76;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Rosmari Carneiro;797.238.428-23;F;1986-02-20;Niterói;RJ;rosmari.carneiro@yahoo.com.br;(81) 98649-6969;Bronze;2,0;539,85
RSV-37458730;QRT-04283;HSP-210835;Agência de Turismo;2024-07-10;2024-11-20;24/11/2024;1;234,06;Check-out Realizado;HTL-606;211;2;Superior;3;Cidade;320,41;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Marcos Cilloni Caldas;207.904.266-17;M;1991-12-17;Uberlândia;MG;marcos.caldas@hotmail.com;(19) 98659-8652;Bronze;5,0;185,9
