Funcionario_ID;Funcionario_Nome;Hotel_ID;Setor;Cargo;Turno;Data_Admissao;Salario_Mensal
FUN-78820;Elonice Bartoloni Bordonaro;HTL-602;Manutenção;Técnico de Manutenção;Tarde;08/05/2025;3349,75
FUN-73856;Simião Assis Yamaguchi;HTL-602;Governança;Camareira;Noite;21/11/2020;1909,92
FUN-40959;Anete Araxá Xavier;HTL-602;Recepção;Recepcionista;Noite;2022-12-13;3183,09
FUN-01568;Jerônimo Amil;HTL-356;Manutenção;Eletricista Predial;Tarde;31/12/2019;3659,05
FUN-08234;Bernardo Kobayashi Amiraldo;HTL-356;Governança;Camareira;Manhã;26.08.23;2229,38
FUN-59097;Lúcio Schaefer Abade;HTL-356;Recepção;AUDITOR NOTURNO;Noite;12/07/2020;3265,74
FUN-32345;Heinz Ameixa Grüber;HTL-485;Manutenção;Eletricista Predial;Manhã;2022-11-10;4069,57
FUN-96106;Iraci Amiral;HTL-485;Governança;Supervisora de Andar;Manhã;17/01/2025;2893,28
FUN-71403;Leonildes Costa Arduno;HTL-485;Recepção;Auditor Noturno;Manhã;28/03/2017;2795,88
FUN-28577;Jânio Aparo Guerreiro;HTL-785;Manutenção;Eletricista Predial;Tarde;2025-07-18;3328,84
FUN-96354;Ibraim Heller Camargo;HTL-785;Governança;Camareira;Manhã;26/05/2018;2355,81
FUN-07844;Lênio Cella Anjos;HTL-785;Recepção;Auditor Noturno;Noite;29/10/2015;3370,82
FUN-50800;Lilian Amaral Manske;HTL-878;Manutenção;Técnico de Manutenção;Noite;17/04/2019;2518,21
FUN-34873;Damiela Ambroses;HTL-878;Governança;Camareira;Noite;03/08/2023;2356,43
FUN-77293;Elizete Benetton;HTL-878;Recepção;Recepcionista;Noite;2018-01-31;2399,39
FUN-34079;Elói Cipollone Albanesi;HTL-103;Manutenção;Técnico de Manutenção;Noite;27/08/2022;2315,38
FUN-13975;Valdirene Bastos Ardina;HTL-103;Governança;Camareira;Manhã;17-01-2026;2194,94
FUN-51678;Jennifer Bonanomi Figueiredo;HTL-103;Recepção;Concierge;Manhã;09/01/2025;3331,26
FUN-15784;Kaio Campi Battistini;HTL-782;Manutenção;Técnico de Manutenção;Manhã;10-04-2022;2356,17
FUN-64706;Amilinha Hack Arcon;HTL-782;Governança;Supervisora de Andar;Manhã;2024-12-29;2624,87
FUN-95136;Aristeu Passos;HTL-782;Recepção;Concierge;Tarde;30-01-2025;3549,26
FUN-45111;Ervino Held Alvinhos;HTL-105;Manutenção;Eletricista Predial;Tarde;07/12/2020;3607,23
FUN-81524;Eustáquio Pacheco Barreto;HTL-105;Governança;Supervisora de Andar;Manhã;24-01-2017;2929,26
FUN-50023;Milena Krueger;HTL-105;Recepção;AUDITOR NOTURNO;Noite;11-02-2025;2655,3
FUN-39946;Ardósia Bruno Araçatuba;HTL-606;Manutenção;Eletricista Predial;Tarde;10/01/2024;3813,97
FUN-08486;Raquel Adão;HTL-606;Governança;Camareira;Tarde;20/01/2025;1758,97
FUN-66099;Lazaro Candido Campigotto;HTL-606;Recepção;Recepcionista;Manhã;23/08/2015;2928,32
FUN-08849;Lucilma Arconde;HTL-108;Manutenção;Técnico de Manutenção;Tarde;05/02/2021;2650,35
FUN-22607;Isaías Lutterbeck;HTL-108;Governança;Camareira;Noite;2017-06-29;2349,79
FUN-81030;Jander Aldeia Espírito Santo;HTL-108;Recepção;Recepcionista;Tarde;27/09/2021;2774,81
FUN-10117;Lucilma Campigotto Hesse;HTL-485;Gestão;Gerente de Hospedagem;Noite;04/01/2026;9832,53
FUN-20102;Regina Ikeda;HTL-782;Gestão;Gerente Geral;Manhã;14/12/2017;12012,76
FUN-87201;Adora Manske Feldmann;HTL-606;Gestão;Gerente de Hospedagem;Manhã;02.09.23;6991,97
FUN-08472;Fumiko Arcadio Grimm;HTL-108;Recepção;Auditor Noturno;Tarde;30.12.24;3022,81
FUN-97185;Anselmo Amaral;HTL-606;Gestão; Gerente Geral;Manhã;01/06/2019;13987,41
FUN-12735;Jânio Quadros Lutterbeck;HTL-606;A&B;Cozinheiro;Noite;2018-03-03;3014,07
FUN-70857;Augoura Barros;HTL-785;Recepção;Concierge;Tarde;08/05/2021;3352,86
FUN-87234;Rosângela Andrade Antero;HTL-103;Governança;Camareira;Tarde;04/04/2025;2015,74
FUN-49013;Elionarda Nishimura;HTL-782;Governança;Supervisora de Andar;Manhã;02/08/2017;2664,31
FUN-78842;Everaldo Artoni Grüber;HTL-602;Gestão;Gerente de Hospedagem;Manhã;2020-06-22;6605,43
FUN-31422;Ladislau Apuzzo;HTL-103;Recepção;Recepcionista;Noite;01/07/2017;2334,15
FUN-61213;Darlley Bocchi Borsari;HTL-485;Gestão;Gerente de Hospedagem;Noite;23/06/2019;7711,39
FUN-16845;Dami Flor Belotti;HTL-878;Recepção;Concierge;Manhã;13/12/2016;3321,19
FUN-55799;Rosmari Arafat Antipode;HTL-103;Governança;Supervisora de Andar;Manhã;04-05-2016;2759,81
FUN-43948;Renoir Ascenção Bravi;HTL-602;Gestão;Gerente Geral;Tarde;25.08.24;14036,35
FUN-71181;Luisa Tsuda Arnaldi;HTL-606;Manutenção;Eletricista Predial;Manhã;14/10/2023;2841,03
FUN-50716;Manoelito Archela Amilaga;HTL-785;Gestão;Gerente Geral;Noite;01/03/2017;16468,2
FUN-65221;Amayra Diniz Cavalheiro;HTL-878;A&B;Cozinheiro;Noite;12/03/2016;3417,75
FUN-47371;Elorise Amancio Calvani;HTL-108;Governança;Supervisora de Andar;Tarde;24/02/2026;3049,21
FUN-23286;Creomar Bertoni Pinto;HTL-103;Manutenção;Técnico de Manutenção;Tarde;2021-06-14;3219,15
FUN-71755;Manuela Grimm;HTL-782;A&B;Garçom;Manhã;06/10/2018;2449,61
FUN-54780;Jarbas Rodrigues;HTL-878;A&B;Barman;Tarde;21/12/2015;2588,19
