Hospede_ID;Hospede_Nome;CPF;Sexo;Data_Nascimento;Cidade_Origem;UF_Origem;Email;Telefone;Nivel_Fidelidade
HSP-470664;Ananélia Vale;760.083.505-37;F;18/04/1993;Recife;PE;ananeliavale87@gmail.com;(41) 96926-6641;Bronze
HSP-300945;Ieda Hopf;856.257.532-10;F;12/09/1954;Goiânia;GO;ieda_hopf29@icloud.com;(31) 96865-1359;Bronze
HSP-250966;Hermes Ardeni Correia;001.676.184-74;M;23-01-1950;Brasília;DF;hermes_correia@hotmail.com;(11) 97233-7895;Prata
HSP-485627;Joimar Arcie Arantes;739.348.356-43;M;16/03/1995;Londrina;PR;joimar_arantes71@yahoo.com.br;(41) 98818-8875;Ouro
HSP-986105;Aisa Carvalho;143.744.701-58;F;11/07/1999;Ribeirão Preto;SP;aisa.carvalho@outlook.com;(61) 99283-6123;Bronze
HSP-613468;Fátima Nogueira;155.216.674-07;F;04/02/1995;São Paulo;SP;fatima_nogueira@yahoo.com.br;(19) 98657-3732;Bronze
HSP-945467;Isac Pires Sarmento  ;902.771.670-60;M;09.03.70;Campinas;SP;isac.sarmento41@gmail.com;(62) 99143-4669;OURO
HSP-623638;Izabel Uchôa Archer;890.028.772-93;F;04/09/1968;Campinas;SP;izabel.archer@outlook.com;(41) 97355-5557;Prata
HSP-424848;Jandir Amestoy;751.701.660-10;M;16/07/1973;Ribeirão Preto;SP;jandiramestoy@gmail.com;(81) 99945-5990;Bronze
HSP-837573;Hiroshi Hanauer Guimarães;711.305.548-64;M;1987-07-06;NITERÓI;RJ;HIROSHIGUIMARAES@GMAIL.COM;(11) 99673-3689;Prata
HSP-118281;Janete Krueger Figueiredo;516.091.779-91;F;15/09/1952;Curitiba;PR;JANETEFIGUEIREDO64@GMAIL.COM;(62) 99015-1795;Bronze
HSP-181663;Larissara Albergaria Zanini;669.346.547-14;F;09/08/1955;Londrina;PR;larissara.zanini78@icloud.com;62972249975;Bronze
HSP-769179;Jordánia Battistini Arnaldi;288.515.879-49;F;07/07/1951;Belo Horizonte;MG;JORDANIAARNALDI@ICLOUD.COM;(19) 98761-9747;Bronze
