Funcionario_ID;Funcionario_Nome;Hotel_ID;Setor;Cargo;Turno;Data_Admissao;Salario_Mensal
FUN-78820;Elonice Bartoloni Bordonaro;HTL-602;Manutenção;Técnico de Manutenção;Tarde;2025-05-08;3349,75
FUN-73856;Simião Assis Yamaguchi;HTL-602;Governança;Camareira;Noite;2020-11-21;1909,92
FUN-40959;Anete Araxá Xavier;HTL-602;Recepção;Recepcionista;Noite;2022-12-13;3183,09
FUN-01568;Jerônimo Amil;HTL-356;Manutenção;Eletricista Predial;Tarde;2019-12-31;3659,05
FUN-08234;Bernardo Kobayashi Amiraldo;HTL-356;Governança;Camareira;Manhã;2023-08-26;2229,38
FUN-59097;Lúcio Schaefer Abade;HTL-356;Recepção;Auditor Noturno;Noite;2020-07-12;3265,74
FUN-32345;Heinz Ameixa Grüber;HTL-485;Manutenção;Eletricista Predial;Manhã;2022-11-10;4069,57
FUN-96106;Iraci Amiral;HTL-485;Governança;Supervisora de Andar;Manhã;2025-01-17;2893,28
FUN-71403;Leonildes Costa Arduno;HTL-485;Recepção;Auditor Noturno;Manhã;2017-03-28;2795,88
FUN-28577;Jânio Aparo Guerreiro;HTL-785;Manutenção;Eletricista Predial;Tarde;2025-07-18;3328,84
FUN-96354;Ibraim Heller Camargo;HTL-785;Governança;Camareira;Manhã;2018-05-26;2355,81
FUN-07844;Lênio Cella Anjos;HTL-785;Recepção;Auditor Noturno;Noite;2015-10-29;3370,82
FUN-50800;Lilian Amaral Manske;HTL-878;Manutenção;Técnico de Manutenção;Noite;2019-04-17;2518,21
FUN-34873;Damiela Ambroses;HTL-878;Governança;Camareira;Noite;2023-08-03;2356,43
FUN-77293;Elizete Benetton;HTL-878;Recepção;Recepcionista;Noite;2018-01-31;2399,39
FUN-34079;Elói Cipollone Albanesi;HTL-103;Manutenção;Técnico de Manutenção;Noite;2022-08-27;2315,38
FUN-13975;Valdirene Bastos Ardina;HTL-103;Governança;Camareira;Manhã;2026-01-17;2194,94
FUN-51678;Jennifer Bonanomi Figueiredo;HTL-103;Recepção;Concierge;Manhã;2025-01-09;3331,26
FUN-15784;Kaio Campi Battistini;HTL-782;Manutenção;Técnico de Manutenção;Manhã;2022-04-10;2356,17
FUN-64706;Amilinha Hack Arcon;HTL-782;Governança;Supervisora de Andar;Manhã;2024-12-29;2624,87
FUN-95136;Aristeu Passos;HTL-782;Recepção;Concierge;Tarde;2025-01-30;3549,26
FUN-45111;Ervino Held Alvinhos;HTL-105;Manutenção;Eletricista Predial;Tarde;2020-12-07;3607,23
FUN-81524;Eustáquio Pacheco Barreto;HTL-105;Governança;Supervisora de Andar;Manhã;2017-01-24;2929,26
FUN-50023;Milena Krueger;HTL-105;Recepção;Auditor Noturno;Noite;2025-02-11;2655,3
FUN-39946;Ardósia Bruno Araçatuba;HTL-606;Manutenção;Eletricista Predial;Tarde;2024-01-10;3813,97
FUN-08486;Raquel Adão;HTL-606;Governança;Camareira;Tarde;2025-01-20;1758,97
FUN-66099;Lazaro Candido Campigotto;HTL-606;Recepção;Recepcionista;Manhã;2015-08-23;2928,32
FUN-08849;Lucilma Arconde;HTL-108;Manutenção;Técnico de Manutenção;Tarde;2021-02-05;2650,35
FUN-22607;Isaías Lutterbeck;HTL-108;Governança;Camareira;Noite;2017-06-29;2349,79
FUN-81030;Jander Aldeia Espírito Santo;HTL-108;Recepção;Recepcionista;Tarde;2021-09-27;2774,81
FUN-10117;Lucilma Campigotto Hesse;HTL-485;Gestão;Gerente de Hospedagem;Noite;2026-01-04;9832,53
FUN-20102;Regina Ikeda;HTL-782;Gestão;Gerente Geral;Manhã;2017-12-14;12012,76
FUN-87201;Adora Manske Feldmann;HTL-606;Gestão;Gerente de Hospedagem;Manhã;2023-09-02;6991,97
FUN-08472;Fumiko Arcadio Grimm;HTL-108;Recepção;Auditor Noturno;Tarde;2024-12-30;3022,81
FUN-97185;Anselmo Amaral;HTL-606;Gestão;Gerente Geral;Manhã;2019-06-01;13987,41
FUN-12735;Jânio Quadros Lutterbeck;HTL-606;A&B;Cozinheiro;Noite;2018-03-03;3014,07
FUN-70857;Augoura Barros;HTL-785;Recepção;Concierge;Tarde;2021-05-08;3352,86
FUN-87234;Rosângela Andrade Antero;HTL-103;Governança;Camareira;Tarde;2025-04-04;2015,74
FUN-49013;Elionarda Nishimura;HTL-782;Governança;Supervisora de Andar;Manhã;2017-08-02;2664,31
FUN-78842;Everaldo Artoni Grüber;HTL-602;Gestão;Gerente de Hospedagem;Manhã;2020-06-22;6605,43
FUN-31422;Ladislau Apuzzo;HTL-103;Recepção;Recepcionista;Noite;2017-07-01;2334,15
FUN-61213;Darlley Bocchi Borsari;HTL-485;Gestão;Gerente de Hospedagem;Noite;2019-06-23;7711,39
FUN-16845;Dami Flor Belotti;HTL-878;Recepção;Concierge;Manhã;2016-12-13;3321,19
FUN-55799;Rosmari Arafat Antipode;HTL-103;Governança;Supervisora de Andar;Manhã;2016-05-04;2759,81
FUN-43948;Renoir Ascenção Bravi;HTL-602;Gestão;Gerente Geral;Tarde;2024-08-25;14036,35
FUN-71181;Luisa Tsuda Arnaldi;HTL-606;Manutenção;Eletricista Predial;Manhã;2023-10-14;2841,03
FUN-50716;Manoelito Archela Amilaga;HTL-785;Gestão;Gerente Geral;Noite;2017-03-01;16468,2
FUN-65221;Amayra Diniz Cavalheiro;HTL-878;A&B;Cozinheiro;Noite;2016-03-12;3417,75
FUN-47371;Elorise Amancio Calvani;HTL-108;Governança;Supervisora de Andar;Tarde;2026-02-24;3049,21
FUN-23286;Creomar Bertoni Pinto;HTL-103;Manutenção;Técnico de Manutenção;Tarde;2021-06-14;3219,15
FUN-71755;Manuela Grimm;HTL-782;A&B;Garçom;Manhã;2018-10-06;2449,61
FUN-54780;Jarbas Rodrigues;HTL-878;A&B;Barman;Tarde;2015-12-21;2588,19
FUN-84492;Auristela Arago Kiefer;HTL-108;Gestão;Gerente Geral;Manhã;2020-11-23;12665,19
FUN-94475;Aniete Amazónia Apuzzo;HTL-606;Gestão;Gerente Geral;Tarde;2023-04-19;15735,51
FUN-29826;Denisia Aldeia Sampaio;HTL-878;Manutenção;Técnico de Manutenção;Noite;2022-03-22;3342,92
FUN-77668;Joiciele Gieseler Araçatuba;HTL-782;Gestão;Gerente Geral;Manhã;2022-04-24;14959,75
FUN-65780;Severino Sasaki Elias;HTL-602;Manutenção;Técnico de Manutenção;Noite;2021-03-30;3417,1
FUN-15371;Elorisete Berger;HTL-485;Recepção;Recepcionista;Tarde;2021-11-13;2537,0
FUN-32008;Silvestre Espírito Santo;HTL-485;Gestão;Gerente de Hospedagem;Tarde;2026-01-17;8003,77
FUN-25313;Ambrisia Sales Taveira;HTL-108;Governança;Supervisora de Andar;Manhã;2022-06-15;2447,02
FUN-63883;Rubens Franke Aragoni;HTL-105;Recepção;Recepcionista;Noite;2021-11-11;2504,31
FUN-04670;Lorena Inoue;HTL-785;Governança;Camareira;Tarde;2016-04-17;2368,61
FUN-04037;Jani Lobato;HTL-485;Recepção;Recepcionista;Manhã;2021-11-29;2436,38
FUN-03287;Jeovani Bacci Lorenz;HTL-105;A&B;Barman;Tarde;2020-11-11;2049,86
FUN-06447;Epitácio Galvão;HTL-785;Recepção;Recepcionista;Noite;2021-08-13;2952,15
FUN-37715;Kaio Mäder Friedrich;HTL-606;Governança;Camareira;Noite;2022-06-30;2201,25
